title,album,isrc,trackId,url,total_streams,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7
crzy tekkno,crzy tekkno,GX8KD2220696,3x0RbkfbtAvH1jd2pM6Kzj,https://open.spotify.com/track/3x0RbkfbtAvH1jd2pM6Kzj,59739,,,,,,,
crzy tekkno (sped up),crzy tekkno (sped up),GX8KD2220700,3MuZhgWMhsEFpCmIv6eCLM,https://open.spotify.com/track/3MuZhgWMhsEFpCmIv6eCLM,3030,,,,,,,
turn on the lights tekkno,turn on the lights tekkno,GX8KD2221968,0078z1uSA3PRdBKKuHIMnu,https://open.spotify.com/track/0078z1uSA3PRdBKKuHIMnu,168027,,,,,,,
rivers tekkno,rivers tekkno,GX8KD2210740,1q8Nt3ZDIDBIzFvrybqReI,https://open.spotify.com/track/1q8Nt3ZDIDBIzFvrybqReI,70414,,,,,,,
rivers tekkno (sped up),rivers tekkno (sped up),GX8KD2210770,50RkhXrfiIZrzAhA5vAuiu,https://open.spotify.com/track/50RkhXrfiIZrzAhA5vAuiu,3090,,,,,,,
toxic tekkno,toxic tekkno,GX8KD2210786,5LqInEqM9oMmyIsOysUcjB,https://open.spotify.com/track/5LqInEqM9oMmyIsOysUcjB,192021,,,,,,,
toxic tekkno (sped up),toxic tekkno (sped up),GX8KD2210789,1GAVfeP1LSrfv9Ch4FowoM,https://open.spotify.com/track/1GAVfeP1LSrfv9Ch4FowoM,23623,,,,,,,
go flex tekkno,go flex tekkno,GX8KD2208250,5QEBPtpE4B6ctf3ppuskle,https://open.spotify.com/track/5QEBPtpE4B6ctf3ppuskle,168462,,,,,,,
go flex tekkno (sped up),go flex tekkno (sped up),GX8KD2208186,2HSCn7pkbGYbjb8qfGJcw1,https://open.spotify.com/track/2HSCn7pkbGYbjb8qfGJcw1,6175,,,,,,,
how deep is your love tekkno,how deep is your love tekkno,GX8KD2206824,7FEEkgcstSFL2582lOTfo5,https://open.spotify.com/track/7FEEkgcstSFL2582lOTfo5,255797,,,,,,,
how deep is your love tekkno (sped up),how deep is your love tekkno (sped up),GX8KD2206924,5lySK62I7mnRibBEMgQOCx,https://open.spotify.com/track/5lySK62I7mnRibBEMgQOCx,127157,,,,,,,
in the end tekkno,in the end tekkno,GX8KD2205673,3G58RApYQuGwpnEB31nDJp,https://open.spotify.com/track/3G58RApYQuGwpnEB31nDJp,136776,,,,,,,
in the end tekkno (sped up),in the end tekkno (sped up),GX8KD2205675,7pOF6owuziw3QxoVNc8q6R,https://open.spotify.com/track/7pOF6owuziw3QxoVNc8q6R,4836,,,,,,,
never let me down tekkno,never let me down tekkno,GX8KD2205676,2YY97pdP81p2EyvmFvu9a4,https://open.spotify.com/track/2YY97pdP81p2EyvmFvu9a4,261432,,,,,,,
never let me down tekkno (sped up),never let me down tekkno (sped up),GX8KD2205677,5jF9emm1gNZtVNdqzZ6jwN,https://open.spotify.com/track/5jF9emm1gNZtVNdqzZ6jwN,8211,,,,,,,
youth tekkno,youth tekkno,GX8KD2205555,7niirUlikJZK50XXJCyRkQ,https://open.spotify.com/track/7niirUlikJZK50XXJCyRkQ,64899,,,,,,,
youth tekkno (sped up),youth tekkno (sped up),GX8KD2205552,5ZeR5joj4ST0zLz2BF8QVp,https://open.spotify.com/track/5ZeR5joj4ST0zLz2BF8QVp,2523,,,,,,,
set fire to the rain,set fire to the rain,GX8KD2206196,2qrxtaocn71zKm9P4BaCAB,https://open.spotify.com/track/2qrxtaocn71zKm9P4BaCAB,3726910,,,,,,,
set fire to the rain tekkno (sped up),set fire to the rain tekkno (sped up),GX8KD2202723,0d1AeHpQR5oz7bufgrjF88,https://open.spotify.com/track/0d1AeHpQR5oz7bufgrjF88,271955,,,,,,,
you're somebody else tekkno,you're somebody else tekkno,GX8KD2202724,4nhArVQJLHAGCXooSbAwLK,https://open.spotify.com/track/4nhArVQJLHAGCXooSbAwLK,280675,,,,,,,
you're somebody else tekkno (sped up),you're somebody else tekkno (sped up),GX8KD2202727,6pcYXAqFexX23qablZWHbM,https://open.spotify.com/track/6pcYXAqFexX23qablZWHbM,8338,,,,,,,
maneater tekkno,maneater tekkno,GX8KD2200895,0W7FgLA2rxMX7hOiotEcyf,https://open.spotify.com/track/0W7FgLA2rxMX7hOiotEcyf,109528,,,,,,,
maneater tekkno (sped up),maneater tekkno (sped up),GX8KD2200903,6jeEUb0AQIv4YXrYSJkPZM,https://open.spotify.com/track/6jeEUb0AQIv4YXrYSJkPZM,10762,,,,,,,
all the things she said tekkno (sped up),all the things she said tekkno (sped up),GX38U2310164,2vIqZ2vtIulhuxSLCJaJPT,https://open.spotify.com/track/2vIqZ2vtIulhuxSLCJaJPT,9767,,,,,,,
dreams tekkno (sped up),dreams tekkno (sped up),GX38U2310170,77qNYjaj9L15LCmbZRHiTm,https://open.spotify.com/track/77qNYjaj9L15LCmbZRHiTm,2417,,,,,,,
rock your body tekkno (sped up),rock your body tekkno (sped up),GX38U2310163,1khkNhCneNqpkhSJFxOBhB,https://open.spotify.com/track/1khkNhCneNqpkhSJFxOBhB,3856,,,,,,,
all the things she said tekkno,all the things she said tekkno,GX38U2307963,4XFJE263kHZY71zZpoiEIm,https://open.spotify.com/track/4XFJE263kHZY71zZpoiEIm,538653,,,,,,,
dreams,dreams,GX38U2308143,6vucn2B6tsuIm9UYYtYBDa,https://open.spotify.com/track/6vucn2B6tsuIm9UYYtYBDa,72330,,,,,,,
i'm good (blue) tekkno,i'm good (blue) tekkno,GX38U2307967,728ihOm6xY7URezjuXDMup,https://open.spotify.com/track/728ihOm6xY7URezjuXDMup,111901,,,,,,,
i'm good (blue) tekkno (sped up),i'm good (blue) tekkno (sped up),GX38U2307964,1YF1UA4kSWVfVVnH4QvZD7,https://open.spotify.com/track/1YF1UA4kSWVfVVnH4QvZD7,35212,,,,,,,
